Genesis block
1;Block 1 Data;2460681;2018-04-25 21:10:49.544773;-1;0000080915555d7166845ce7c75bce7ea3bdf9d21b089a07db71c24c66947ac7
30;96469;-1;2018-04-25 21:10:50.256384;b2e62a510e60e3eca1630c5b9b79977847e21a39da7d04f730655b95c5ae8016;804b7f873136d20fd277e3d197e2904a5cbb33c489a76a7b0a4d2fb3409e7fef
31;60098;-1;2018-04-25 21:10:50.279196;804b7f873136d20fd277e3d197e2904a5cbb33c489a76a7b0a4d2fb3409e7fef;0dc6b6bd12cdb523664bbf6bea018c3e86d7766b1f0c80e103a01072a5852ce9
32;77170;-1;2018-04-25 21:10:50.299021;0dc6b6bd12cdb523664bbf6bea018c3e86d7766b1f0c80e103a01072a5852ce9;2be55e0394b2092adb9d733a4fcc5e94a1310dedbee6177c04af90fe456a9f8a
33;1387;-1;2018-04-25 21:10:50.319301;2be55e0394b2092adb9d733a4fcc5e94a1310dedbee6177c04af90fe456a9f8a;4d94b9aa3a6f06d5f19bda9582696830af82ee61013152a2db5138bb339cc62e
34;60022;-1;2018-04-25 21:10:50.341904;4d94b9aa3a6f06d5f19bda9582696830af82ee61013152a2db5138bb339cc62e;48b31bf508485fa608b3e05a309d8279d9d2fe546d458a495de1b320783b23e2
35;16163;-1;2018-04-25 21:10:50.361515;48b31bf508485fa608b3e05a309d8279d9d2fe546d458a495de1b320783b23e2;fff810424ba23fbe260a44dec9620aea286c610539dd60f7c99179c7f33da664
36;56816;-1;2018-04-25 21:10:50.382310;fff810424ba23fbe260a44dec9620aea286c610539dd60f7c99179c7f33da664;49f5ab04a9205fec8deec314a5d6a8a1b2d6e93316d68516a509c4a5ab0666b1
37;48276;-1;2018-04-25 21:10:50.404599;49f5ab04a9205fec8deec314a5d6a8a1b2d6e93316d68516a509c4a5ab0666b1;a0eb8adadbfa78c0b0515972ef57960df7c183ac7a3477f0bc6728a507151f4d
38;45926;-1;2018-04-25 21:10:50.424960;a0eb8adadbfa78c0b0515972ef57960df7c183ac7a3477f0bc6728a507151f4d;aad3707fdbd80acbad3ae2236c8cf1cde05238277fedfb829156434cc4024faf
39;28150;-1;2018-04-25 21:10:50.447770;aad3707fdbd80acbad3ae2236c8cf1cde05238277fedfb829156434cc4024faf;c04c296eff2e0e7552dca28e3e0b33ecdd6c9626712c6bd7f6069da85db99e92
40;24414;-1;2018-04-25 21:10:50.472598;c04c296eff2e0e7552dca28e3e0b33ecdd6c9626712c6bd7f6069da85db99e92;d73062bc303038535dc58242193f978f572650bf5d02b79b4cb718d4da7fce0d
41;82257;-1;2018-04-25 21:10:50.493008;d73062bc303038535dc58242193f978f572650bf5d02b79b4cb718d4da7fce0d;99e2a4f99a7b2a30d022191378c8ae85164e64db1f3608aa13ede4c5bd709af0
42;31188;-1;2018-04-25 21:10:50.515686;99e2a4f99a7b2a30d022191378c8ae85164e64db1f3608aa13ede4c5bd709af0;8f8ae2b74f98ee18024d8640393e4c3d8288cd05dc75994a83d01bc49017bad7
43;44800;-1;2018-04-25 21:10:50.535633;8f8ae2b74f98ee18024d8640393e4c3d8288cd05dc75994a83d01bc49017bad7;41f4f2fe9399e44eff7ad952e418037f8b21a965c1a7fb0522a9c7840b3dba27
44;72891;-1;2018-04-25 21:10:50.557168;41f4f2fe9399e44eff7ad952e418037f8b21a965c1a7fb0522a9c7840b3dba27;0a6bc2dde7ac88c447741ef5fe75c3233ba39cb3201c9001521f1ac9ee7f8f8a
45;75484;-1;2018-04-25 21:10:50.578871;0a6bc2dde7ac88c447741ef5fe75c3233ba39cb3201c9001521f1ac9ee7f8f8a;9bd19c381caa08116eb6344ae30d2903bd4b29554b3573f20c943d507df9831c
46;78475;-1;2018-04-25 21:10:50.601844;9bd19c381caa08116eb6344ae30d2903bd4b29554b3573f20c943d507df9831c;7cd0c7c742c21b15ef71c3a3d312ebc026825b176245efd77ab510283e38cf7b
47;35222;-1;2018-04-25 21:10:50.624655;7cd0c7c742c21b15ef71c3a3d312ebc026825b176245efd77ab510283e38cf7b;2fa607d181b8047f974d18df73713f8104d46be6d3b7bfa34dfacc4a12248f86
48;68624;-1;2018-04-25 21:10:50.647994;2fa607d181b8047f974d18df73713f8104d46be6d3b7bfa34dfacc4a12248f86;e3b8c77d8507bbe8dd890c75b7e0e657c16377518b24bb41a08d7d40e4a2fd80
49;71975;-1;2018-04-25 21:10:50.671909;e3b8c77d8507bbe8dd890c75b7e0e657c16377518b24bb41a08d7d40e4a2fd80;258991ba3c3c19e7c6f6bcb28687182d7b7fb3eb5e5eafb0b9e6cd0a84841c0a
50;66407;-1;2018-04-25 21:10:50.694053;258991ba3c3c19e7c6f6bcb28687182d7b7fb3eb5e5eafb0b9e6cd0a84841c0a;9d271a34c3174fb3426a45d82c12edcad55c4a04b9c47e8b1c038d9e585b0397
51;1935;-1;2018-04-25 21:10:50.716388;9d271a34c3174fb3426a45d82c12edcad55c4a04b9c47e8b1c038d9e585b0397;9e4ea931deec547080981ce9e28fc3ed75c43c243de2ec973d547f1aec578b31
52;91922;-1;2018-04-25 21:10:50.740844;9e4ea931deec547080981ce9e28fc3ed75c43c243de2ec973d547f1aec578b31;53c9bd486b7aa019c025669f4ff1e5c92086e7badfc10a973255dbd84ece89f0
